"pizzaId";"pizzaName";"pizzaPrice";"pizzaPrice1";"pizzaPrice2";"pizzaDesc";"pizzaCategorieId";"pizzaPubDate"
"256";"Activzyme (100ml * 3)";"415";"249";"9.22";"Code: AG0005   Shade Name: Active-80
DP: 415.00   BV: 249.00   PV: 9.22
Weight(gm): 495.00";"26";"2022-02-26 14:10:05"
"257";"Activmax (100ml *3)";"490";"294";"10.89";"Code: AG0008   Shade Name: 
DP: 490.00   BV: 294.00   PV: 10.89
Weight(gm): 436.00";"26";"2022-02-26 14:10:53"
"258";"Active - 80 ( 100ml * 3 )";"390";"234";"8.67";"Code: AG0001   Shade Name: Active-80
DP: 390.00   BV: 234.00   PV: 8.67
Weight(gm): 447.00";"26";"2022-02-26 14:13:29"
"259";"Active - 80  (500ml)";"560";"336";"12.44";"Code: AG0002   Shade Name: Active-80
DP: 560.00   BV: 336.00   PV: 12.44
Weight(gm): 631.00";"26";"2022-02-26 14:14:29"
"260";"Active - 80 (5 l) ";"4235";"2541";"94.11";"Code: AG0003   Shade Name: Active-80
DP: 4235.00   BV: 2541.00   PV: 94.11
Weight(gm): 5730.00";"26";"2022-02-26 14:16:26"
"261";"Washmate Powerclean Detergent Bar";"100";"35";"1.3";"Code: LC4004   Shade Name: 
DP: 100.00   BV: 35.00   PV: 1.30
Weight(gm): 630.00";"31";"2022-02-26 14:21:50"
"262";"Washmate Pre Wash Dirt & Stain Remover";"165";"57.75";"2.14";"Code: LC3021   Shade Name: 
DP: 165.00   BV: 57.75   PV: 2.14
Weight(gm): 279.00";"31";"2022-02-26 14:23:43"
"263";"Washmate 5 In 1 Liquid Detergent With Powerzyme & Natural Softener (Biosafe Formula)";"350";"210";"7.78";"Code: LC2018   Shade Name: 
DP: 350.00   BV: 210.00   PV: 7.78
Weight(gm): 553.00";"31";"2022-02-26 14:24:47"
"264";"Washmate Delicate Liquid Detergent For Woolen & Delicate Fabrics (Biosafe Formula)";"325";"195";"7.22";"Code: LC2017   Shade Name: 
DP: 325.00   BV: 195.00   PV: 7.22
Weight(gm): 555.00";"31";"2022-02-26 14:26:07"
"265";"Soul Flavours Kachi Ghani Cold Pressed Mustard Oil";"245";"24.5";"0.91";"Code: FP3056   Shade Name: 
DP: 245.00   BV: 24.50   PV: 0.91
Weight(gm): 925.00";"28";"2022-02-26 14:29:25"
"266";"Soul Flavours Kachi Ghani Cold Pressed Mustard Oil - 5 Litre";"910";"91";"3.37";"Code: FP3071   Shade Name: 
DP: 910.00   BV: 91.00   PV: 3.37
Weight(gm): 4750.00";"28";"2022-02-26 14:34:48"
"267";"SOUL FLAVOURS ACTIVE RICE BRAN OIL - 5 Litre";"1150";"230";"8.52";"Code: FP3072   Shade Name: 
DP: 1150.00   BV: 230.00   PV: 8.52
Weight(gm): 4750.00";"28";"2022-02-26 14:35:27"
"268";"Soul Flavours Active Rice Bran Oil (Pouch)";"225";"45";"1.67";"Code: FP3050   Shade Name: 
DP: 225.00   BV: 45.00   PV: 1.67
Weight(gm): 920.00";"28";"2022-02-26 14:36:37"
"269";"Soul Flavours Strong CTC Tea";"110";"27.5";"1.02";"Code: FP0033   Shade Name: 
DP: 110.00   BV: 27.50   PV: 1.02
Weight(gm): 255.00";"28";"2022-02-26 14:41:55"
"270";"Soul Flavours Shahi Mukhwas";"115";"46";"1.7";"Code: FP3113   Shade Name: 
DP: 115.00   BV: 46.00   PV: 1.70
Weight(gm): 77.00";"28";"2022-02-26 14:43:03"
"271";"Soul Flavours Penne Rigate (Pasta)";"178";"71.2";"2.64";"Code: FP3007   Shade Name: 
DP: 178.00   BV: 71.20   PV: 2.64
Weight(gm): 508.00";"28";"2022-02-26 14:46:28"
"272";"Soul Flavours Shahi Pan";"200";"80";"2.96";"Code: FP0027   Shade Name: 
DP: 200.00   BV: 80.00   PV: 2.96
Weight(gm): 120.00";"28";"2022-02-26 14:47:10"
"273";"Soul Flavours All Natural Stevia Powder";"445";"178";"6.59";"Code: FP0013   Shade Name: 
DP: 445.00   BV: 178.00   PV: 6.59
Weight(gm): 245.00
";"28";"2022-02-26 14:48:07"
"274";"Soul Flavours Shahi Mukhwas";"160";"64";"2.37";"Code: FP0026   Shade Name: 
DP: 160.00   BV: 64.00   PV: 2.37
Weight(gm): 117.00";"28";"2022-02-26 14:49:13"
"275";"Soul Flavours Honey With Tulsi";"380";"152";"5.63";"Code: FP0011   Shade Name: 
DP: 380.00   BV: 152.00   PV: 5.63
Weight(gm): 550.00";"28";"2022-02-26 14:51:40"
"276";"Soul Flavours Honey With Ginger";"380";"152";"5.63";"Code: FP0012   Shade Name: 
DP: 380.00   BV: 152.00   PV: 5.63
Weight(gm): 550.00";"28";"2022-02-26 14:52:24"
"277";"Soul Flavours Amla Candy Sweet";"265";"106";"3.93";"Code: FP0008   Shade Name: 
DP: 265.00   BV: 106.00   PV: 3.93
Weight(gm): 580.00";"28";"2022-02-26 14:58:40"
"278";"Soul Flavours Cardamom Seeds";"50";"30";"1.11";"Code: FP0005   Shade Name: 
DP: 50.00   BV: 30.00   PV: 1.11
Weight(gm): 23.00";"28";"2022-02-26 14:59:51"
"279";"Fruit Of The Earth Power Green Tea";"185";"73.29";"2.73";"Code: FP0002   Shade Name: 
DP: 185.00   BV: 73.79   PV: 2.73
Weight(gm): 83.00";"28";"2022-02-26 15:00:41"
"280";"Fruit Of The Earth C.T.C & Long Leaf Tea";"165";"66";"2.44";"Code: FP0003   Shade Name: 
DP: 165.00   BV: 66.00   PV: 2.44
Weight(gm): 294.00";"28";"2022-02-26 15:03:37"
"281";"Soul Flavours Garam Masala";"73";"18.25";"0.68";"Code: FP3034   Shade Name: 
DP: 73.00   BV: 18.25   PV: 0.68
Weight(gm): 109.00";"28";"2022-02-26 15:07:07"
"282";"Soul Flavours Kali Mirch Powder";"170";"42.5";"1.57";"Code: FP3029   Shade Name: 
DP: 170.00   BV: 42.50   PV: 1.57
Weight(gm): 109.00";"28";"2022-02-26 15:08:23"
"283";"Soul Flavours Jeera Powder";"68";"17";"0.63";"Code: FP3025   Shade Name: 
DP: 68.00   BV: 17.00   PV: 0.63
Weight(gm): 109.00";"28";"2022-02-26 15:09:48"
"284";"Soul Flavours Lal Mirch Powder";"52";"13";"0.48";"Code: FP3023   Shade Name: 
DP: 52.00   BV: 13.00   PV: 0.48
Weight(gm): 109.00";"28";"2022-02-26 15:10:30"
"285";"Soul Flavours Haldi Powder";"35";"8.75";"0.32";"Code: FP3030   Shade Name: 
DP: 35.00   BV: 8.75   PV: 0.32
Weight(gm): 109.00";"28";"2022-02-26 15:11:46"
"286";"Soul Flavours Dhania Powder";"35";"8.75";"0.32";"Code: FP3027   Shade Name: 
DP: 35.00   BV: 8.75   PV: 0.32
Weight(gm): 109.00";"28";"2022-02-26 15:12:39"
"287";"Soul Flavours Lal Mirch Powder";"102";"25.5";"0.94";"Code: FP3054   Shade Name: 
DP: 102.00   BV: 25.50   PV: 0.94
Weight(gm): 200.00";"28";"2022-02-26 15:15:19"
"288";"Soul Flavours Pav Bhaji Masala";"70";"17.5";"0.65";"Code: FP3066   Shade Name: 
DP: 70.00   BV: 17.50   PV: 0.65
Weight(gm): 100.00";"28";"2022-02-26 15:17:56"
"290";"Soul Flavours Chhole Masala";"81";"20.25";"0.75";"Code: FP3067   Shade Name: 
DP: 81.00   BV: 20.25   PV: 0.75
Weight(gm): 100.00";"28";"2022-02-26 15:20:25"
"291";"Soul Flavours Chaat Masala";"70";"17.5";"0.65";"Code: FP3065   Shade Name: 
DP: 70.00   BV: 17.50   PV: 0.65
Weight(gm): 104.00";"28";"2022-02-26 15:30:55"
"292";"Soul Flavours Haldi Powder";"68";"17";"0.63";"Code: FP3053   Shade Name: 
DP: 68.00   BV: 17.00   PV: 0.63
Weight(gm): 200.00
";"28";"2022-02-26 15:31:44"
"293";"Soul Flavours Dhania Powder";"70";"17";"0.63";"Code: FP3055   Shade Name: 
DP: 70.00   BV: 17.00   PV: 0.63
Weight(gm): 200.00
";"28";"2022-02-26 15:32:55"
"294";"Soul Pops Freaky Fruity Lollipops";"105";"63";"2.33";"Code: FP0028   Shade Name: 
DP: 105.00   BV: 63.00   PV: 2.33
Weight(gm): 197.00";"28";"2022-02-26 15:33:53"
"295";"Soul Flavours Rawal Pindi Chana";"103";"20.6";"0.76";"Code: FP3083   Shade Name: 
DP: 103.00   BV: 20.60   PV: 0.76
Weight(gm): 332.00";"28";"2022-02-26 15:36:55"
"296";"Soul Flavours Chicken Biryani";"229";"45.8";"1.7";"Code: FP3082   Shade Name: 
DP: 229.00   BV: 45.80   PV: 1.70
Weight(gm): 282.00";"28";"2022-02-26 15:37:50"
"298";"Soul Flavours Chicken Curry Boneless";"229";"45.8";"1.7";"Code: FP3078   Shade Name: 
DP: 229.00   BV: 45.80   PV: 1.70
Weight(gm): 330.00";"28";"2022-02-26 15:39:33"
